node    size    children
0       16        10 11 12 13 14 15 16 17 18
1       53        10
2       72        11
3       48        12
4       94        13
5       29        14
6       78        15
7       20        16
8       58        17
9       18        18
10       43        19 20 21 22 23 24 25 26
11       30        19
12       95        20
13       87        21
14       7        22
15       30        23
16       1        24
17       61        25
18       72        26
19       73        27 28 29 30 31 32 33
20       21        27
21       53        28
22       62        29
23       75        30
24       26        31
25       22        32
26       65        33
27       59        34 35 36 37 38 39
28       29        34
29       69        35
30       51        36
31       68        37
32       63        38
33       47        39
34       1        40 41 42 43 44
35       74        40
36       11        41
37       8        42
38       51        43
39       79        44
40       35        45 46 47 48
41       88        45
42       73        46
43       55        47
44       52        48
45       94        49 50 51
46       43        49
47       57        50
48       94        51
49       19        52 53
50       13        52
51       97        53
52       23        54
53       61        54
54       28        
