node    size    children
0       4        9 10 11 12 13 14 15 16
1       58        9
2       92        10
3       15        11
4       27        12
5       35        13
6       97        14
7       93        15
8       67        16
9       9        17 18 19 20 21 22 23
10       55        17
11       91        18
12       33        19
13       45        20
14       91        21
15       89        22
16       33        23
17       43        24 25 26 27 28 29
18       91        24
19       7        25
20       44        26
21       48        27
22       47        28
23       42        29
24       55        30 31 32 33 34
25       90        30
26       88        31
27       81        32
28       11        33
29       54        34
30       19        35 36 37 38
31       50        35
32       76        36
33       78        37
34       59        38
35       18        39 40 41
36       39        39
37       51        40
38       63        41
39       88        42 43
40       18        42
41       28        43
42       41        44
43       27        44
44       28        
