node    size    children
0       26        7 8 9 10 11 12
1       85        7
2       12        8
3       43        9
4       96        10
5       68        11
6       58        12
7       65        13 14 15 16 17
8       19        13
9       65        14
10       82        15
11       43        16
12       50        17
13       37        18 19 20 21
14       77        18
15       48        19
16       41        20
17       46        21
18       85        22 23 24
19       14        22
20       1        23
21       74        24
22       86        25 26
23       42        25
24       42        26
25       25        27
26       70        27
27       36        
