node    size    children
0       3        8 9 10 11 12 13 14
1       74        8
2       13        9
3       8        10
4       9        11
5       81        12
6       36        13
7       73        14
8       83        15 16 17 18 19 20
9       85        15
10       1        16
11       49        17
12       5        18
13       67        19
14       5        20
15       83        21 22 23 24 25
16       40        21
17       96        22
18       68        23
19       75        24
20       36        25
21       70        26 27 28 29
22       60        26
23       57        27
24       25        28
25       72        29
26       22        30 31 32
27       23        30
28       58        31
29       92        32
30       38        33 34
31       15        33
32       14        34
33       95        35
34       11        35
35       43        
