node    size    children
0       93        7 8 9 10 11 12
1       5        7
2       61        8
3       37        9
4       55        10
5       5        11
6       66        12
7       11        13 14 15 16 17
8       83        13
9       17        14
10       70        15
11       63        16
12       16        17
13       54        18 19 20 21
14       4        18
15       61        19
16       47        20
17       84        21
18       36        22 23 24
19       93        22
20       89        23
21       62        24
22       76        25 26
23       91        25
24       28        26
25       81        27
26       19        27
27       33        
