node    size    children
0       84        9 10 11 12 13 14 15 16
1       2        9
2       42        10
3       13        11
4       89        12
5       16        13
6       91        14
7       77        15
8       5        16
9       64        17 18 19 20 21 22 23
10       48        17
11       72        18
12       83        19
13       75        20
14       42        21
15       97        22
16       28        23
17       31        24 25 26 27 28 29
18       51        24
19       37        25
20       44        26
21       30        27
22       60        28
23       16        29
24       2        30 31 32 33 34
25       55        30
26       58        31
27       90        32
28       50        33
29       39        34
30       75        35 36 37 38
31       87        35
32       78        36
33       12        37
34       32        38
35       37        39 40 41
36       88        39
37       68        40
38       75        41
39       94        42 43
40       42        42
41       76        43
42       80        44
43       37        44
44       21        
