node    size    children
0       42        7 8 9 10 11 12
1       75        7
2       62        8
3       63        9
4       4        10
5       27        11
6       81        12
7       65        13 14 15 16 17
8       77        13
9       86        14
10       8        15
11       54        16
12       14        17
13       64        18 19 20 21
14       16        18
15       76        19
16       39        20
17       57        21
18       92        22 23 24
19       86        22
20       83        23
21       77        24
22       38        25 26
23       98        25
24       17        26
25       85        27
26       48        27
27       24        
