node    size    children
0       14        7 8 9 10 11 12
1       74        7
2       8        8
3       1        9
4       51        10
5       88        11
6       48        12
7       52        13 14 15 16 17
8       98        13
9       99        14
10       2        15
11       61        16
12       20        17
13       40        18 19 20 21
14       14        18
15       63        19
16       76        20
17       22        21
18       73        22 23 24
19       91        22
20       56        23
21       28        24
22       29        25 26
23       75        25
24       91        26
25       69        27
26       43        27
27       15        
