node    size    children
0       47        9 10 11 12 13 14 15 16
1       94        9
2       12        10
3       28        11
4       71        12
5       55        13
6       22        14
7       47        15
8       32        16
9       49        17 18 19 20 21 22 23
10       44        17
11       29        18
12       7        19
13       7        20
14       88        21
15       51        22
16       84        23
17       71        24 25 26 27 28 29
18       1        24
19       65        25
20       61        26
21       25        27
22       55        28
23       16        29
24       40        30 31 32 33 34
25       63        30
26       21        31
27       97        32
28       52        33
29       97        34
30       54        35 36 37 38
31       34        35
32       83        36
33       10        37
34       80        38
35       17        39 40 41
36       17        39
37       81        40
38       91        41
39       22        42 43
40       30        42
41       78        43
42       56        44
43       53        44
44       6        
