node    size    children
0       83        9 10 11 12 13 14 15 16
1       81        9
2       43        10
3       75        11
4       41        12
5       79        13
6       16        14
7       87        15
8       84        16
9       94        17 18 19 20 21 22 23
10       6        17
11       40        18
12       92        19
13       46        20
14       51        21
15       63        22
16       45        23
17       43        24 25 26 27 28 29
18       84        24
19       41        25
20       92        26
21       61        27
22       44        28
23       21        29
24       48        30 31 32 33 34
25       93        30
26       70        31
27       72        32
28       4        33
29       67        34
30       88        35 36 37 38
31       90        35
32       12        36
33       33        37
34       47        38
35       34        39 40 41
36       52        39
37       77        40
38       60        41
39       1        42 43
40       52        42
41       79        43
42       6        44
43       45        44
44       91        
