node    size    children
0       59        9 10 11 12 13 14 15 16
1       82        9
2       13        10
3       75        11
4       14        12
5       32        13
6       86        14
7       6        15
8       43        16
9       38        17 18 19 20 21 22 23
10       90        17
11       92        18
12       41        19
13       12        20
14       88        21
15       37        22
16       45        23
17       5        24 25 26 27 28 29
18       18        24
19       72        25
20       36        26
21       1        27
22       25        28
23       88        29
24       14        30 31 32 33 34
25       93        30
26       17        31
27       68        32
28       26        33
29       39        34
30       78        35 36 37 38
31       97        35
32       73        36
33       44        37
34       95        38
35       52        39 40 41
36       15        39
37       58        40
38       69        41
39       64        42 43
40       30        42
41       88        43
42       2        44
43       42        44
44       58        
