node    size    children
0       78        7 8 9 10 11 12
1       65        7
2       68        8
3       67        9
4       51        10
5       90        11
6       55        12
7       56        13 14 15 16 17
8       57        13
9       84        14
10       94        15
11       11        16
12       43        17
13       98        18 19 20 21
14       97        18
15       3        19
16       12        20
17       2        21
18       52        22 23 24
19       1        22
20       24        23
21       53        24
22       16        25 26
23       21        25
24       59        26
25       82        27
26       2        27
27       49        
