node    size    children
0       64        8 9 10 11 12 13 14
1       63        8
2       90        9
3       49        10
4       93        11
5       32        12
6       68        13
7       25        14
8       3        15 16 17 18 19 20
9       53        15
10       68        16
11       28        17
12       65        18
13       75        19
14       6        20
15       65        21 22 23 24 25
16       45        21
17       68        22
18       8        23
19       63        24
20       42        25
21       45        26 27 28 29
22       51        26
23       38        27
24       54        28
25       98        29
26       12        30 31 32
27       51        30
28       9        31
29       45        32
30       73        33 34
31       76        33
32       6        34
33       39        35
34       52        35
35       68        
