node    size    children
0       52        7 8 9 10 11 12
1       36        7
2       31        8
3       29        9
4       59        10
5       28        11
6       26        12
7       99        13 14 15 16 17
8       31        13
9       36        14
10       63        15
11       98        16
12       18        17
13       45        18 19 20 21
14       97        18
15       58        19
16       29        20
17       3        21
18       15        22 23 24
19       82        22
20       96        23
21       35        24
22       44        25 26
23       31        25
24       88        26
25       3        27
26       65        27
27       62        
