node    size    children
0       14        8 9 10 11 12 13 14
1       55        8
2       89        9
3       68        10
4       59        11
5       56        12
6       54        13
7       18        14
8       58        15 16 17 18 19 20
9       82        15
10       19        16
11       67        17
12       25        18
13       6        19
14       16        20
15       84        21 22 23 24 25
16       46        21
17       52        22
18       13        23
19       27        24
20       73        25
21       34        26 27 28 29
22       33        26
23       39        27
24       21        28
25       60        29
26       89        30 31 32
27       53        30
28       33        31
29       85        32
30       23        33 34
31       95        33
32       50        34
33       46        35
34       80        35
35       83        
