node    size    children
0       85        10 11 12 13 14 15 16 17 18
1       72        10
2       6        11
3       79        12
4       39        13
5       18        14
6       37        15
7       23        16
8       65        17
9       26        18
10       84        19 20 21 22 23 24 25 26
11       59        19
12       43        20
13       71        21
14       93        22
15       14        23
16       98        24
17       17        25
18       3        26
19       38        27 28 29 30 31 32 33
20       46        27
21       75        28
22       92        29
23       81        30
24       61        31
25       25        32
26       26        33
27       19        34 35 36 37 38 39
28       64        34
29       45        35
30       47        36
31       35        37
32       70        38
33       86        39
34       19        40 41 42 43 44
35       30        40
36       89        41
37       59        42
38       51        43
39       84        44
40       54        45 46 47 48
41       42        45
42       69        46
43       74        47
44       23        48
45       54        49 50 51
46       54        49
47       52        50
48       26        51
49       66        52 53
50       48        52
51       25        53
52       17        54
53       79        54
54       47        
