node    size    children
0       53        9 10 11 12 13 14 15 16
1       86        9
2       69        10
3       51        11
4       7        12
5       33        13
6       41        14
7       95        15
8       54        16
9       83        17 18 19 20 21 22 23
10       71        17
11       77        18
12       48        19
13       69        20
14       5        21
15       86        22
16       79        23
17       22        24 25 26 27 28 29
18       61        24
19       69        25
20       95        26
21       66        27
22       26        28
23       43        29
24       83        30 31 32 33 34
25       65        30
26       87        31
27       42        32
28       88        33
29       33        34
30       27        35 36 37 38
31       84        35
32       26        36
33       67        37
34       9        38
35       20        39 40 41
36       37        39
37       21        40
38       75        41
39       91        42 43
40       85        42
41       6        43
42       40        44
43       86        44
44       23        
