node    size    children
0       4        10 11 12 13 14 15 16 17 18
1       42        10
2       6        11
3       38        12
4       62        13
5       15        14
6       76        15
7       88        16
8       40        17
9       3        18
10       35        19 20 21 22 23 24 25 26
11       5        19
12       70        20
13       44        21
14       78        22
15       94        23
16       4        24
17       63        25
18       80        26
19       39        27 28 29 30 31 32 33
20       54        27
21       15        28
22       97        29
23       1        30
24       69        31
25       85        32
26       9        33
27       33        34 35 36 37 38 39
28       64        34
29       91        35
30       58        36
31       26        37
32       2        38
33       44        39
34       72        40 41 42 43 44
35       31        40
36       46        41
37       27        42
38       42        43
39       85        44
40       13        45 46 47 48
41       50        45
42       89        46
43       20        47
44       98        48
45       32        49 50 51
46       19        49
47       76        50
48       14        51
49       96        52 53
50       89        52
51       3        53
52       79        54
53       5        54
54       83        
