node    size    children
0       36        8 9 10 11 12 13 14
1       51        8
2       94        9
3       40        10
4       64        11
5       26        12
6       65        13
7       25        14
8       70        15 16 17 18 19 20
9       14        15
10       7        16
11       51        17
12       37        18
13       5        19
14       49        20
15       38        21 22 23 24 25
16       71        21
17       5        22
18       19        23
19       36        24
20       80        25
21       55        26 27 28 29
22       90        26
23       86        27
24       74        28
25       39        29
26       68        30 31 32
27       73        30
28       99        31
29       83        32
30       82        33 34
31       99        33
32       52        34
33       84        35
34       25        35
35       56        
