node    size    children
0       16        8 9 10 11 12 13 14
1       21        8
2       86        9
3       34        10
4       70        11
5       39        12
6       64        13
7       96        14
8       8        15 16 17 18 19 20
9       82        15
10       58        16
11       82        17
12       84        18
13       82        19
14       2        20
15       21        21 22 23 24 25
16       95        21
17       71        22
18       59        23
19       19        24
20       62        25
21       61        26 27 28 29
22       27        26
23       91        27
24       41        28
25       69        29
26       32        30 31 32
27       47        30
28       85        31
29       11        32
30       79        33 34
31       65        33
32       66        34
33       6        35
34       14        35
35       46        
