node    size    children
0       23        10 11 12 13 14 15 16 17 18
1       10        10
2       29        11
3       19        12
4       2        13
5       75        14
6       56        15
7       71        16
8       92        17
9       80        18
10       50        19 20 21 22 23 24 25 26
11       40        19
12       80        20
13       59        21
14       94        22
15       8        23
16       28        24
17       67        25
18       71        26
19       13        27 28 29 30 31 32 33
20       53        27
21       85        28
22       47        29
23       53        30
24       43        31
25       55        32
26       11        33
27       52        34 35 36 37 38 39
28       56        34
29       27        35
30       21        36
31       84        37
32       25        38
33       57        39
34       50        40 41 42 43 44
35       39        40
36       63        41
37       31        42
38       70        43
39       65        44
40       93        45 46 47 48
41       47        45
42       58        46
43       15        47
44       44        48
45       41        49 50 51
46       43        49
47       78        50
48       53        51
49       8        52 53
50       11        52
51       72        53
52       59        54
53       92        54
54       61        
