node    size    children
0       59        7 8 9 10 11 12
1       88        7
2       61        8
3       81        9
4       57        10
5       53        11
6       95        12
7       5        13 14 15 16 17
8       61        13
9       50        14
10       63        15
11       34        16
12       36        17
13       63        18 19 20 21
14       36        18
15       96        19
16       19        20
17       45        21
18       36        22 23 24
19       63        22
20       43        23
21       86        24
22       81        25 26
23       82        25
24       53        26
25       49        27
26       92        27
27       67        
