node    size    children
0       4        9 10 11 12 13 14 15 16
1       38        9
2       90        10
3       69        11
4       37        12
5       35        13
6       48        14
7       55        15
8       71        16
9       19        17 18 19 20 21 22 23
10       47        17
11       47        18
12       16        19
13       29        20
14       24        21
15       61        22
16       28        23
17       12        24 25 26 27 28 29
18       95        24
19       90        25
20       4        26
21       45        27
22       56        28
23       43        29
24       25        30 31 32 33 34
25       26        30
26       49        31
27       80        32
28       62        33
29       88        34
30       69        35 36 37 38
31       19        35
32       4        36
33       49        37
34       97        38
35       88        39 40 41
36       24        39
37       91        40
38       12        41
39       37        42 43
40       91        42
41       6        43
42       20        44
43       20        44
44       38        
