node    size    children
0       97        10 11 12 13 14 15 16 17 18
1       97        10
2       81        11
3       15        12
4       36        13
5       41        14
6       36        15
7       8        16
8       10        17
9       56        18
10       94        19 20 21 22 23 24 25 26
11       24        19
12       10        20
13       23        21
14       69        22
15       37        23
16       49        24
17       61        25
18       15        26
19       53        27 28 29 30 31 32 33
20       24        27
21       53        28
22       46        29
23       45        30
24       82        31
25       32        32
26       47        33
27       2        34 35 36 37 38 39
28       60        34
29       47        35
30       68        36
31       95        37
32       77        38
33       60        39
34       81        40 41 42 43 44
35       49        40
36       81        41
37       74        42
38       34        43
39       73        44
40       24        45 46 47 48
41       88        45
42       91        46
43       68        47
44       94        48
45       91        49 50 51
46       77        49
47       36        50
48       71        51
49       71        52 53
50       11        52
51       35        53
52       15        54
53       37        54
54       8        
